timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,fullName
327:37,0,1,45,22,29,63,0,0,00:09,303:10,45,4.5,1,0,0,0,24:18,21,-10,1,479,11:17,10:27,00:50,00:00,Samuel Morin
4961:46,63,22,97,403,255,161,2,9,191:10,4460:41,97,5.5,3,2,0,0,309:55,320,-28,85,6484,19:27,17:29,01:12,00:44,Travis Sanheim
1015:24,17,10,63,103,95,216,2,3,37:41,969:23,63,42.9,9.7,1,0,0,0,08:20,32,-1,27,1503,10:41,10:12,00:05,00:23,Nicolas Aube-Kubel
2636:03,33,38,41,328,184,169,5,8,213:35,2236:27,41,40.4,11.6,4,0,0,0,186:01,105,-10,71,3760,14:19,12:09,01:00,01:09,Oskar Lindblom
5349:00,125,94,189,733,349,372,17,49,668:25,4675:27,189,38.3,12.8,13,3,0,0,05:08,170,5,219,7114,15:19,13:23,00:00,01:54,Travis Konecny
8955:59,109,50,138,785,371,522,9,38,755:37,7167:54,138,0.0,6.4,9,2,0,1,1032:28,701,9,159,10812,24:08,19:19,02:46,02:02,Ivan Provorov
181:03,3,4,4,24,14,28,1,1,23:21,157:31,4,0.0,16.7,1,0,0,0,00:11,10,1,7,252,12:55,11:15,00:00,01:40,Wade Allison
403:03,2,1,4,33,39,60,0,0,01:02,386:14,4,46.0,3.0,0,0,0,0,15:47,8,1,3,629,10:20,09:54,00:24,00:01,Connor Bunnaman
27:13,0,0,0,1,4,4,0,0,00:00,27:13,0,42.9,0.0,0,0,0,0,00:00,4,-1,0,46,06:48,06:48,00:00,00:00,German Rubtsov
49:53,0,0,0,6,5,5,0,0,00:04,44:17,0,40.7,0.0,0,0,0,0,05:32,1,1,0,83,09:58,08:51,01:06,00:00,Tanner Laczynski
197:06,1,2,2,21,17,18,0,1,21:35,175:21,2,42.9,9.5,0,0,0,0,00:10,10,5,3,241,11:35,10:18,00:00,01:16,Gerald Mayhew
19:07,0,0,0,0,2,2,0,0,00:02,19:05,0,0,0,0,0,00:00,0,-1,0,33,09:33,09:32,00:00,00:01,Maksim Sushko
